postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3634,1798,0,0,0,0,0,30/09/2020,01/10/2020
3635,536,0,0,0,0,0,30/09/2020,01/10/2020
3636,5241,0,3,0,0,0,30/09/2020,01/10/2020
3637,593,0,0,0,0,0,30/09/2020,01/10/2020
3638,2075,0,2,0,0,0,30/09/2020,01/10/2020
3639,524,0,0,0,0,0,30/09/2020,01/10/2020
3640,1000,0,0,0,0,0,30/09/2020,01/10/2020
3641,1233,0,0,0,0,0,30/09/2020,01/10/2020
3644,0,0,2,0,0,0,30/09/2020,01/10/2020
3646,586,0,0,0,0,0,30/09/2020,01/10/2020
3647,40,0,0,0,0,0,30/09/2020,01/10/2020
3649,431,0,0,0,0,0,30/09/2020,01/10/2020
3658,6221,0,8,0,0,0,30/09/2020,01/10/2020
3659,734,0,3,0,0,0,30/09/2020,01/10/2020
3660,7577,0,2,0,0,0,30/09/2020,01/10/2020
3662,1075,0,0,0,0,0,30/09/2020,01/10/2020
3663,180,0,0,0,0,0,30/09/2020,01/10/2020
3664,1072,0,0,0,0,0,30/09/2020,01/10/2020
3665,357,0,0,0,0,0,30/09/2020,01/10/2020
3666,4700,0,1,0,0,0,30/09/2020,01/10/2020
3669,1337,0,0,0,0,0,30/09/2020,01/10/2020
3670,571,0,0,0,0,0,30/09/2020,01/10/2020
3672,10330,0,3,0,0,0,30/09/2020,01/10/2020
3673,1729,0,0,0,0,0,30/09/2020,01/10/2020
3675,1803,0,0,0,0,0,30/09/2020,01/10/2020
3677,18101,0,2,0,0,0,30/09/2020,01/10/2020
3678,6357,0,0,0,0,0,30/09/2020,01/10/2020
3682,616,0,0,0,0,0,30/09/2020,01/10/2020
3683,1760,0,0,0,0,0,30/09/2020,01/10/2020
3685,2718,0,1,0,0,0,30/09/2020,01/10/2020
3687,1098,0,0,0,0,0,30/09/2020,01/10/2020
3688,1237,0,0,0,0,0,30/09/2020,01/10/2020
3690,33522,0,1,0,0,0,30/09/2020,01/10/2020
3691,0,0,1,0,0,0,30/09/2020,01/10/2020
3694,92,0,0,0,0,0,30/09/2020,01/10/2020
3695,472,0,0,0,0,0,30/09/2020,01/10/2020
3697,575,0,0,0,0,0,30/09/2020,01/10/2020
3698,862,0,0,0,0,0,30/09/2020,01/10/2020
3699,1124,0,0,0,0,0,30/09/2020,01/10/2020
3700,1317,0,0,0,0,0,30/09/2020,01/10/2020
3701,1075,0,0,0,0,0,30/09/2020,01/10/2020
3704,20,0,0,0,0,0,30/09/2020,01/10/2020
3705,261,0,0,0,0,0,30/09/2020,01/10/2020
3708,58,0,0,0,0,0,30/09/2020,01/10/2020
3709,295,0,0,0,0,0,30/09/2020,01/10/2020
3711,493,0,0,0,0,0,30/09/2020,01/10/2020
3712,353,0,0,0,0,0,30/09/2020,01/10/2020
3713,1026,0,0,0,0,0,30/09/2020,01/10/2020
3714,3512,0,0,0,0,0,30/09/2020,01/10/2020
3715,308,0,1,0,0,0,30/09/2020,01/10/2020
3717,2654,0,3,0,0,0,30/09/2020,01/10/2020
3718,72,0,0,0,0,0,30/09/2020,01/10/2020
3719,371,0,0,0,0,0,30/09/2020,01/10/2020
3720,569,0,0,0,0,0,30/09/2020,01/10/2020
3722,5020,0,4,0,0,0,30/09/2020,01/10/2020
3723,3003,0,5,0,0,0,30/09/2020,01/10/2020
3725,631,0,0,0,0,0,30/09/2020,01/10/2020
3726,404,0,0,0,0,0,30/09/2020,01/10/2020
3727,305,0,0,0,0,0,30/09/2020,01/10/2020
3728,635,0,0,0,0,0,30/09/2020,01/10/2020
3730,8831,0,4,0,0,0,30/09/2020,01/10/2020
3732,595,0,0,0,0,0,30/09/2020,01/10/2020
3733,219,0,0,0,0,0,30/09/2020,01/10/2020
3735,609,0,0,0,0,0,30/09/2020,01/10/2020
3737,4302,0,0,0,0,0,30/09/2020,01/10/2020
3738,222,0,0,0,0,0,30/09/2020,01/10/2020
3739,215,0,0,0,0,0,30/09/2020,01/10/2020
3740,1075,0,0,0,0,0,30/09/2020,01/10/2020
3741,3098,0,1,0,0,0,30/09/2020,01/10/2020
3744,453,0,0,0,0,0,30/09/2020,01/10/2020
3746,385,0,0,0,0,0,30/09/2020,01/10/2020
3747,4628,0,0,0,0,0,30/09/2020,01/10/2020
3749,1889,0,0,0,0,0,30/09/2020,01/10/2020
3750,9060,0,143,0,0,0,30/09/2020,01/10/2020
3751,272,0,0,0,0,0,30/09/2020,01/10/2020
3752,24057,1,114,4.2,0,1,30/09/2020,01/10/2020
3753,2328,0,17,0,0,0,30/09/2020,01/10/2020
