,Year,Year ending,Police Region,Suburb,Incidents Recorded,"Rate per 100,000 population"
122,2019,March,2 Eastern, Wangaratta,"1,639 ","5,615.5 "
123,2019,March,2 Eastern, Wellington,"2,923 ","6,586.3 "
124,2019,March,2 Eastern, Whitehorse,"6,369 ","3,563.3 "
125,2019,March,2 Eastern, Wodonga,"2,421 ","5,752.9 "
126,2019,March,2 Eastern, Yarra Ranges,"5,768 ","3,617.2 "
127,2019,March,2 Eastern,Total,"83,490 ","4,854.9 "
128,2019,March,3 Southern Metro, Bayside,"3,605 ","3,373.5 "
129,2019,March,3 Southern Metro, Cardinia,"4,612 ","4,112.0 "
130,2019,March,3 Southern Metro, Casey,"16,309 ","4,608.7 "
131,2019,March,3 Southern Metro, Frankston,"11,157 ","7,821.6 "
132,2019,March,3 Southern Metro, Glen Eira,"4,896 ","3,128.2 "
133,2019,March,3 Southern Metro, Greater Dandenong,"14,201 ","8,442.9 "
134,2019,March,3 Southern Metro, Kingston,"8,609 ","5,193.0 "
135,2019,March,3 Southern Metro, Mornington Peninsula,"8,162 ","4,868.9 "
136,2019,March,3 Southern Metro, Port Phillip,"9,683 ","8,376.2 "
137,2019,March,3 Southern Metro, Stonnington,"8,170 ","6,937.4 "
138,2019,March,3 Southern Metro,Total,"89,404 ","5,563.3 "
139,2019,March,4 Western, Ararat,911 ,"7,691.0 "
140,2019,March,4 Western, Ballarat,"8,132 ","7,426.1 "
141,2019,March,4 Western, Buloke,214 ,"3,494.4 "
142,2019,March,4 Western, Campaspe,"2,920 ","7,761.4 "
143,2019,March,4 Western, Central Goldfields,917 ,"6,954.3 "
144,2019,March,4 Western, Colac-Otway,"1,321 ","6,126.0 "
145,2019,March,4 Western, Corangamite,487 ,"3,040.0 "
146,2019,March,4 Western, Gannawarra,582 ,"5,557.7 "
147,2019,March,4 Western, Glenelg,956 ,"4,859.2 "
148,2019,March,4 Western, Golden Plains,510 ,"2,149.9 "
149,2019,March,4 Western, Greater Bendigo,"8,096 ","6,855.6 "
150,2019,March,4 Western, Greater Geelong,"15,791 ","6,098.5 "
151,2019,March,4 Western, Hepburn,619 ,"3,874.8 "
