,postcode,Postal_Town,population,active,cases,rate,data_date
1612,3608,NAGAMBIE,2417.0,0,0,0.0,30/09/2020
1613,3610,MURCHISON,1714.0,0,0,0.0,30/09/2020
1614,3610,DHURRINGILE,1714.0,0,0,0.0,30/09/2020
1615,3612,RUSHWORTH,1708.0,0,2,0.0,30/09/2020
1616,3612,RUSHWORTH,1708.0,0,2,0.0,30/09/2020
1617,3614,TOOLAMBA,882.0,0,2,0.0,30/09/2020
1618,3616,TATURA,5353.0,0,3,0.0,30/09/2020
1619,3616,TATURA,5353.0,0,3,0.0,30/09/2020
1620,3616,TATURA,5353.0,0,3,0.0,30/09/2020
1621,3618,MERRIGUM,675.0,0,0,0.0,30/09/2020
1622,3620,LANCASTER,8241.0,0,2,0.0,30/09/2020
1623,3620,KYABRAM,8241.0,0,2,0.0,30/09/2020
1624,3621,TONGALA,2368.0,0,0,0.0,30/09/2020
1625,3621,TONGALA,2368.0,0,0,0.0,30/09/2020
1626,3623,STANHOPE,903.0,0,0,0.0,30/09/2020
1627,3624,GIRGARRE,558.0,0,1,0.0,30/09/2020
1628,3629,MOOROOPNA,9130.0,0,3,0.0,30/09/2020
1629,3629,ARDMONA,9130.0,0,3,0.0,30/09/2020
1630,3629,MOOROOPNA,9130.0,0,3,0.0,30/09/2020
1631,3629,UNDERA,9130.0,0,3,0.0,30/09/2020
1632,3629,MOOROOPNA,9130.0,0,3,0.0,30/09/2020
1633,3629,MOOROOPNA,9130.0,0,3,0.0,30/09/2020
1634,3629,MOOROOPNA,9130.0,0,3,0.0,30/09/2020
1635,3630,SHEPPARTON,31266.0,0,32,0.0,30/09/2020
1636,3630,SHEPPARTON,31266.0,0,32,0.0,30/09/2020
1637,3630,SHEPPARTON,31266.0,0,32,0.0,30/09/2020
1638,3630,SHEPPARTON,31266.0,0,32,0.0,30/09/2020
1639,3630,SHEPPARTON,31266.0,0,32,0.0,30/09/2020
1640,3630,SHEPPARTON SOUTH,31266.0,0,32,0.0,30/09/2020
1641,3630,SHEPPARTON,31266.0,0,32,0.0,30/09/2020
1642,3630,SHEPPARTON,31266.0,0,32,0.0,30/09/2020
1643,3631,KIALLA,11610.0,0,9,0.0,30/09/2020
1644,3631,SHEPPARTON EAST,11610.0,0,9,0.0,30/09/2020
1645,3631,KIALLA WEST,11610.0,0,9,0.0,30/09/2020
1646,3631,GRAHAMVALE,11610.0,0,9,0.0,30/09/2020
1647,3631,ORRVALE,11610.0,0,9,0.0,30/09/2020
1648,3631,LEMNOS,11610.0,0,9,0.0,30/09/2020
1649,3631,SHEPPARTON NORTH,11610.0,0,9,0.0,30/09/2020
1650,3631,KIALLA,11610.0,0,9,0.0,30/09/2020
1651,3632,SHEPPARTON,0.0,0,0,0.0,30/09/2020
1652,3632,SHEPPARTON,0.0,0,0,0.0,30/09/2020
1653,3632,SHEPPARTON,0.0,0,0,0.0,30/09/2020
1654,3632,SHEPPARTON,0.0,0,0,0.0,30/09/2020
1655,3632,SHEPPARTON,0.0,0,0,0.0,30/09/2020
1656,3632,SHEPPARTON,0.0,0,0,0.0,30/09/2020
1657,3632,SHEPPARTON,0.0,0,0,0.0,30/09/2020
1658,3633,CONGUPNA,604.0,0,0,0.0,30/09/2020
1659,3634,TALLYGAROOPNA,1798.0,0,0,0.0,30/09/2020
1660,3634,ZEERUST,1798.0,0,0,0.0,30/09/2020
1661,3634,KATANDRA WEST,1798.0,0,0,0.0,30/09/2020
1662,3635,WUNGHNU,536.0,0,0,0.0,30/09/2020
1663,3636,NUMURKAH,5241.0,0,3,0.0,30/09/2020
1664,3636,Invergordon,5241.0,0,3,0.0,30/09/2020
1665,3636,NUMURKAH,5241.0,0,3,0.0,30/09/2020
1666,3636,NUMURKAH,5241.0,0,3,0.0,30/09/2020
