Suburb,Postcode,LGA_ID,LGA_Name
Ardeer,3022,118,Brimbank
Tullamarine,3043,327,Hume
Park Orchards,3114,421,Manningham
Bell Post Hill,3215,275,Greater
Donvale,3111,421,Manningham
Pinewood,3149,497,Monash
Dallas,3047,327,Hume
Keilor East,3033,506,Moonee
Burnt Bridge,3136,441,Maroondah
Forest Hill,3131,698,Whitehorse
Lara,3212,275,Greater
Ringwood,3134,441,Maroondah
Viewbank,3084,66,Banyule
Simpson,3266,183,Corangamite
Invergordon,3636,490,Moira
Mountain Gate,3156,367,Knox
Boronia,3155,367,Knox
Karingal,3199,217,Frankston
Glen Waverley,3150,497,Monash
Moorabbin,3189,91,Bayside
Altona North,3025,311,Hobsons
Burwood East,3151,698,Whitehorse
Mooroolbark,3138,745,Yarra
Pines Forest,3200,217,Frankston
Broadmeadows,3047,327,Hume
Geelong North,3215,275,Greater
Churchill,3842,381,Latrobe
Morwell,3840,381,Latrobe
Bulleen,3105,421,Manningham
Watsonia North,3087,66,Banyule
Knoxfield,3180,367,Knox
Doncaster,3108,421,Manningham
Frankston South,3199,217,Frankston
Rowville,3178,367,Knox
Hoppers Crossing,3029,726,Wyndham
Templestowe Lower,3107,421,Manningham
"Karingal Centre P.O.,Frankston",3199,217,Frankston
Gladstone Park,3043,327,Hume
Vermont South,3133,698,Whitehorse
Bundoora,3083,66,Banyule
Deer Park,3023,118,Brimbank
Campbellfield,3061,327,Hume
Wheelers Hill,3150,497,Monash
Wodonga,3690,717,Wodonga
Belvedere Park Po Seaford,3198,217,Frankston
Richmond,3121,735,Yarra
Sunshine West,3020,118,Brimbank
Falls Creek,3699,939,Unincorporated
Dandenong North,3175,267,Greater
Ashwood,3147,497,Monash
Noble Park North,3174,267,Greater
Whittington,3219,275,Greater
Templestowe,3106,421,Manningham
Capel Sound,3940,534,Mornington
Endeavour Hills,3802,161,Casey
West Wodonga,3690,717,Wodonga
Bellfield,3081,66,Banyule
Cobram,3644,490,Moira
Brandon Park,3150,497,Monash
Greensborough,3088,571,Nillumbik
Hoppers Crossing Dc,3029,726,Wyndham
Altona Meadows,3028,311,Hobsons
Albanvale,3021,118,Brimbank
Roxburgh Park,3064,327,Hume
Patterson Lakes,3197,343,Kingston
Chirnside Park,3116,745,Yarra
Corinella,3984,74,Bass
Redan,3350,57,Ballarat
Melton West,3337,465,Melton
Laverton,3028,311,Hobsons
Meadow Heights,3048,327,Hume
Loch Sport,3851,681,Wellington
Moorabbin East,3189,231,Glen
Croydon Hills,3136,441,Maroondah
Taylors Lakes,3038,118,Brimbank
Eltham North,3095,66,Banyule
Kingsville,3012,433,Maribyrnong
Blackburn South,3130,698,Whitehorse
Epping,3076,707,Whittlesea
Delahey,3037,118,Brimbank
Aspendale Gardens,3195,343,Kingston
Keilor Downs,3038,118,Brimbank
Seabrook,3028,311,Hobsons
Mildura,3502,478,Mildura
Violet Town,3669,643,Strathbogie
Pakenham,3810,145,Cardinia
Cranbourne North,3977,161,Casey
Derrinallum,3325,183,Corangamite
Mortlake,3272,549,Moyne
Branxholme,3302,626,Southern
Mount Duneed,3217,275,Greater
Grasmere,3281,549,Moyne
Narrawong,3285,241,Glenelg
Ballarat Mail Centre,3354,57,Ballarat
Ballarat,3354,57,Ballarat
Tempy,3489,763,Yarriambiack
Rawson,3825,83,Baw
Bundalaguah,3851,681,Wellington
Lardner,3821,83,Baw
Nayook,3832,83,Baw
Nambrok,3847,681,Wellington
Welshpool,3966,617,South
Whitfield,3733,670,Wangaratta
Greta South,3675,670,Wangaratta
Everton,3678,670,Wangaratta
Waaia,3637,490,Moira
Nangiloc,3494,478,Mildura
Sea Lake,3533,127,Buloke
Harcourt,3453,543,Mount
